# file: coastlines.data
#
# These data are derived from 'earthmap.c' (part of xephem), which in turn
# is derived from 'mapdata.c' (part of xearth).  'earthmap.c' and 'mapdata.c'
# include the following notice:
#
#  Copyright (C) 1989, 1990, 1993, 1994 Kirk Lauritz Johnson
#  Permission to use, copy, modify, distribute, and sell this
#  software and its documentation for any purpose is hereby granted
#  without fee, provided that the above copyright notice appear in
#  all copies and that both that copyright notice and this
#  permission notice appear in supporting documentation. The author
#  makes no representations about the suitability of this software
#  for any purpose. It is provided "as is" without express or
#  implied warranty.
#
#  THE AUTHOR DISCLAIMS ALL WARRANTIES WITH REGARD TO THIS SOFTWARE,
#  INCLUDING ALL IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS,
#  IN NO EVENT SHALL THE AUTHOR BE LIABLE FOR ANY SPECIAL, INDIRECT
#  OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES WHATSOEVER RESULTING FROM
#  LOSS OF USE, DATA OR PROFITS, WHETHER IN AN ACTION OF CONTRACT,
#  NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT OF OR IN
#  CONNECTION WITH THE USE OR PERFORMANCE OF THIS SOFTWARE.

# The three columns are:
#   Longitude (degrees * 100)
#   Latitude (degrees * 100)
#   N (1: first point on a new land mass, 0 otherwise)
#
# Note that a few points (e.g., in far eastern Siberia) are assigned
# longitudes < -180 or > 180;  this allows these land masses to be drawn
# as polygons even if they cross the 180th meridian.

# The last point given for each land mass is the same as the first (except
# for Antarctica, which is circumpolar and thus cannot be rendered as a
# closed polygon on a Mercator projection).

# Long.  Lat. N
  4068  -1503 0
  4058  -1378 0
  4058  -1266 0
  4045  -1150 0
  4044  -1039 0
  3971   -962 0
  3933   -852 0
  3932   -744 0
  3893   -640 0
  3906   -525 0
  3959   -425 0
  4005   -328 0
  4072   -247 0
  4151   -172 0
  4215    -78 0
  4295      6 0
  4376     89 0
  4465    162 0
  4564    220 0
  4653    293 0
  4733    377 0
  4807    466 0
  4872    562 0
  4918    667 0
  4977    766 0
  5035    864 0
  5083    969 0
  5112   1082 0
  5116   1186 0
  5013   1154 0
  4900   1126 0
  4785   1112 0
  4678   1083 0
  4568   1081 0
  4460   1043 0
  4364   1103 0
  4273   1155 0
  4335   1237 0
  4255   1317 0
  4173   1394 0
  4087   1470 0
  4004   1530 0
  3929   1597 0
  3903   1710 0
  3851   1811 0
  3755   1876 0
  3725   1986 0
  3710   2101 0
  3681   2212 0
  3581   2282 0
  3554   2388 0
  3494   2499 0
  3434   2602 0
  3388   2708 0
  3333   2808 0
  3264   2905 0
  3349   2834 0
  3455   2860 0
  3532   2786 0
  3599   2688 0
  3664   2592 0
  3720   2492 0
  3793   2416 0
  3872   2326 0
  3905   2219 0
  3921   2108 0
  3999   2027 0
  4088   1951 0
  4142   1845 0
  4216   1756 0
  4274   1658 0
  4277   1546 0
  4302   1439 0
  4327   1322 0
  4417   1263 0
  4520   1299 0
  4626   1341 0
  4741   1367 0
  4848   1402 0
  4943   1467 0
  5055   1503 0
  5168   1538 0
  5230   1625 0
  5338   1673 0
  5453   1703 0
  5548   1783 0
  5657   1822 0
  5738   1893 0
  5781   1999 0
  5867   2074 0
  5943   2159 0
  5940   2269 0
  5865   2358 0
  5742   2386 0
  5653   2463 0
  5632   2574 0
  5531   2526 0
  5450   2447 0
  5337   2410 0
  5220   2398 0
  5137   2462 0
  5156   2577 0
  5081   2501 0
  5007   2595 0
  4963   2705 0
  4882   2782 0
  4825   2889 0
  4804   3002 0
  4900   3046 0
  5000   3017 0
  5071   2919 0
  5128   2817 0
  5236   2765 0
  5337   2699 0
  5449   2658 0
  5561   2692 0
  5683   2707 0
  5721   2603 0
  5832   2558 0
  5953   2544 0
  6078   2524 0
  6198   2511 0
  6313   2524 0
  6437   2527 0
  6561   2536 0
  6671   2514 0
  6743   2406 0
  6839   2366 0
  6928   2283 0
  7040   2294 0
  6954   2238 0
  6984   2140 0
  7082   2071 0
  7196   2113 0
  7226   2222 0
  7274   2110 0
  7269   2000 0
  7292   1898 0
  7307   1784 0
  7332   1668 0
  7374   1564 0
  7429   1461 0
  7469   1360 0
  7500   1245 0
  7563   1149 0
  7608   1042 0
  7636    935 0
  7699    839 0
  7801    836 0
  7870    918 0
  7925   1009 0
  7985   1100 0
  7994   1215 0
  8032   1319 0
  8011   1420 0
  8011   1532 0
  8100   1591 0
  8203   1643 0
  8263   1729 0
  8355   1798 0
  8449   1872 0
  8532   1956 0
  8627   2000 0
  8696   2075 0
  8776   2169 0
  8881   2165 0
  8985   2203 0
  9051   2289 0
  8987   2367 0
  9078   2291 0
  9178   2230 0
  9205   2120 0
  9272   2042 0
  9367   1981 0
  9413   1882 0
  9452   1777 0
  9435   1663 0
  9525   1589 0
  9627   1650 0
  9695   1730 0
  9766   1645 0
  9777   1526 0
  9808   1414 0
  9859   1304 0
  9865   1189 0
  9855   1077 0
  9850    963 0
  9822    851 0
  9903    784 0
  9970    699 0
 10032    606 0
 10047    493 0
 10078    393 0
 10133    291 0
 10223    220 0
 10321    161 0
 10427    150 0
 10379    258 0
 10342    357 0
 10345    471 0
 10280    563 0
 10195    635 0
 10103    687 0
 10017    758 0
  9995    871 0
  9920    961 0
  9936   1070 0
  9979   1178 0
 10002   1287 0
 10093   1341 0
 10158   1265 0
 10257   1214 0
 10310   1123 0
 10391   1060 0
 10496   1008 0
 10481    906 0
 10583    924 0
 10658    993 0
 10762   1058 0
 10862   1117 0
 10920   1228 0
 10929   1329 0
 10913   1441 0
 10873   1543 0
 10796   1630 0
 10707   1709 0
 10640   1807 0
 10566   1890 0
 10606   1997 0
 10674   2082 0
 10781   2147 0
 10882   2171 0
 10986   2138 0
 10999   2033 0
 11038   2128 0
 11154   2155 0
 11267   2185 0
 11352   2261 0
 11456   2263 0
 11577   2284 0
 11666   2332 0
 11774   2399 0
 11854   2461 0
 11924   2551 0
 11975   2642 0
 12037   2726 0
 12100   2809 0
 12161   2888 0
 12197   2990 0
 12076   3011 0
 12160   3084 0
 12087   3176 0
 11972   3218 0
 12094   3190 0
 12088   3291 0
 12038   3398 0
 11936   3473 0
 11998   3576 0
 12077   3639 0
 12201   3695 0
 12113   3765 0
 11992   3735 0
 11904   3782 0
 11783   3827 0
 11876   3918 0
 11971   3994 0
 12061   4042 0
 12185   4087 0
 12150   3972 0
 12265   3950 0
 12366   3983 0
 12472   3969 0
 12536   3873 0
 12615   3782 0
 12683   3691 0
 12674   3590 0
 12650   3479 0
 12752   3476 0
 12867   3512 0
 12954   3587 0
 12942   3697 0
 12876   3798 0
 12795   3892 0
 12800   3999 0
 12897   4043 0
 12976   4130 0
 13038   4226 0
 13129   4273 0
 13232   4318 0
 13361   4283 0
 13463   4326 0
 13547   4386 0
 13639   4477 0
 13719   4543 0
 13797   4611 0
 13870   4714 0
 13967   4809 0
 14032   4907 0
 14057   5017 0
 14078   5134 0
 14135   5226 0
 14123   5333 0
 14025   5397 0
 13907   5422 0
 13787   5358 0
 13670   5390 0
 13563   5464 0
 13628   5544 0
 13742   5599 0
 13833   5671 0
 13943   5733 0
 14053   5794 0
 14152   5860 0
 14263   5924 0
 14371   5938 0
 14479   5938 0
 14586   5932 0
 14716   5933 0
 14825   5937 0
 14931   5973 0
 15039   5961 0
 15147   5952 0
 15286   5897 0
 15437   5915 0
 15496   6035 0
 15610   6101 0
 15722   6170 0
 15833   6180 0
 15942   6181 0
 16014   6097 0
 16131   6109 0
 16270   6165 0
 16337   6254 0
 16459   6265 0
 16392   6165 0
 16309   6076 0
 16199   6041 0
 16102   5973 0
 15983   5910 0
 15894   5838 0
 15761   5793 0
 15667   5711 0
 15586   5641 0
 15556   5527 0
 15584   5412 0
 15610   5298 0
 15649   5185 0
 15733   5129 0
 15825   5195 0
 15863   5297 0
 15971   5323 0
 16037   5434 0
 16171   5454 0
 16175   5559 0
 16249   5634 0
 16305   5752 0
 16197   5806 0
 16271   5884 0
 16356   5988 0
 16456   6001 0
 16582   6032 0
 16712   6036 0
 16819   6057 0
 16931   6055 0
 17038   6002 0
 17147   6073 0
 17267   6126 0
 17404   6176 0
 17522   6207 0
 17622   6232 0
 17725   6276 0
 17822   6250 0
 17952   6266 0
 17863   6358 0
 17743   6448 0
 17644   6463 0
 17529   6474 0
 17655   6485 0
 17778   6472 0
 17906   6475 0
 18013   6512 0	#-17987   6512 1
 18046   6615 0	#-17954   6615 0
 18147   6566 0	#-17853   6566 0
 18252   6551 0	#-17748   6551 0
 18384   6547 0	#-17616   6547 0
 18486   6480 0	#-17514   6480 0
 18598   6447 0	#-17402   6447 0
 18727   6457 0	#-17273   6457 0
 18763   6551 0	#-17237   6551 0
 18878   6562 0	#-17122   6562 0
 18980   6598 0	#-17020   6598 0
 18852   6676 0	#-17148   6676 0
 18726   6699 0	#-17274   6699 0
 18578   6710 0	#-17422   6710 0
 18479   6748 0	#-17521   6748 0
 18370   6794 0	#-17630   6794 0
 18247   6826 0	#-17753   6826 0
 18133   6863 0	#-17867   6863 0
 18030   6893 0	#-17970   6893 0
 17564   6906 0
 17455   6940 0
 17282   6966 0
 17128   6987 0
 17048   6882 0
 16915   6911 0
 16814   6955 0
 16682   6952 0
 16517   6959 0
 16369   6971 0
 16212   6960 0
 16141   6881 0
 16071   6963 0
 15981   7058 0
 15853   7096 0
 15680   7109 0
 15518   7103 0
 15341   7086 0
 15193   7101 0
 15068   7134 0
 14922   7178 0
 14746   7232 0
 14630   7189 0
 14512   7183 0
 14622   7196 0
 14475   7230 0
 14624   7234 0
 14455   7262 0
 14263   7270 0
 14089   7277 0
 13968   7247 0
 13906   7151 0
 13803   7131 0
 13679   7148 0
 13523   7154 0
 13356   7146 0
 13249   7180 0
 13150   7088 0
 13017   7101 0
 12923   7151 0
 12827   7208 0
 12691   7230 0
 12568   7236 0
 12412   7270 0
 12224   7288 0
 12042   7298 0
 11858   7320 0
 11737   7359 0
 11637   7366 0
 11533   7368 0
 11372   7340 0
 11177   7376 0
 10998   7395 0
 10871   7333 0
 10682   7316 0
 10559   7281 0
 10652   7333 0
 10806   7367 0
 10947   7410 0
 11074   7453 0
 11246   7491 0
 11361   7542 0
 11294   7618 0
 11131   7668 0
 11017   7672 0
 10886   7673 0
 10678   7660 0
 10576   7705 0
 10433   7768 0
 10302   7758 0
 10132   7710 0
 10001   7648 0
  9976   7538 0
  9857   7618 0
  9745   7600 0
  9639   7594 0
  9524   7614 0
  9414   7609 0
  9230   7575 0
  9124   7565 0
  9011   7556 0
  8837   7522 0
  8698   7475 0
  8741   7380 0
  8598   7341 0
  8431   7372 0
  8329   7366 0
  8225   7366 0
  8122   7361 0
  8072   7263 0
  8208   7226 0
  8326   7182 0
  8361   7072 0
  8230   7056 0
  8314   7163 0
  8158   7174 0
  8035   7216 0
  7861   7238 0
  7691   7201 0
  7781   7131 0
  7638   7121 0
  7541   7153 0
  7551   7266 0
  7416   7194 0
  7320   7145 0
  7428   7065 0
  7361   6982 0
  7504   6913 0
  7657   6913 0
  7771   6878 0
  7772   6774 0
  7706   6862 0
  7596   6895 0
  7453   6869 0
  7448   6758 0
  7344   6684 0
  7239   6648 0
  7128   6635 0
  6987   6643 0
  7143   6672 0
  7247   6746 0
  7319   6823 0
  7255   6927 0
  7265   7040 0
  7193   7148 0
  7281   7230 0
  7130   7290 0
  7029   7289 0
  6893   7258 0
  6832   7172 0
  6708   7130 0
  6716   7029 0
  6797   6949 0
  6906   6886 0
  6764   6856 0
  6640   6895 0
  6494   6925 0
  6370   6962 0
  6209   6975 0
  6062   6974 0
  6037   6872 0
  5909   6854 0
  5744   6864 0
  5596   6861 0
  5471   6826 0
  5358   6835 0
  5254   6854 0
  5143   6842 0
  5002   6809 0
  4884   6777 0
  4787   6745 0
  4674   6682 0
  4569   6705 0
  4664   6794 0
  4517   6857 0
  4369   6854 0
  4383   6726 0
  4411   6622 0
  4299   6641 0
  4169   6621 0
  4057   6588 0
  4033   6464 0
  3889   6474 0
  3772   6501 0
  3659   6491 0
  3785   6434 0
  3674   6393 0
  3580   6431 0
  3487   6468 0
  3481   6576 0
  3355   6638 0
  3229   6706 0
  3345   6679 0
  3459   6660 0
  3598   6634 0
  3736   6620 0
  3871   6607 0
  4004   6629 0
  4100   6672 0
  4067   6776 0
  3968   6810 0
  3845   6838 0
  3715   6885 0
  3584   6918 0
  3428   6931 0
  3328   6917 0
  3232   6952 0
  3050   6978 0
  2923   7002 0
  3085   7029 0
  2915   7078 0
  2817   7024 0
  2743   7095 0
  2643   7083 0
  2543   7026 0
  2447   7073 0
  2342   7024 0
  2166   7024 0
  2060   6970 0
  1937   6974 0
  1831   6932 0
  1679   6862 0
  1573   6813 0
  1475   6741 0
  1374   6685 0
  1294   6605 0
  1216   6505 0
  1112   6447 0
   996   6392 0
  1130   6396 0
  1018   6337 0
   912   6340 0
   805   6298 0
   667   6261 0
   552   6212 0
   522   6115 0
   645   6119 0
   746   6129 0
   605   6109 0
   525   6029 0
   626   6040 0
   553   5963 0
   595   5843 0
   725   5802 0
   867   5839 0
   976   5902 0
  1064   5978 0
  1123   5868 0
  1185   5762 0
  1252   5684 0
  1296   5575 0
  1396   5541 0
  1499   5616 0
  1617   5651 0
  1661   5762 0
  1648   5862 0
  1749   5885 0
  1840   5936 0
  1720   5933 0
  1843   5950 0
  1766   6058 0
  1723   6163 0
  1796   6263 0
  1894   6324 0
  2002   6362 0
  2123   6428 0
  2156   6533 0
  2268   6582 0
  2406   6579 0
  2524   6550 0
  2428   6452 0
  2309   6383 0
  2191   6321 0
  2113   6253 0
  2154   6147 0
  2202   6046 0
  2299   6019 0
  2427   6003 0
  2585   6033 0
  2740   6051 0
  2857   6058 0
  2989   6010 0
  2873   5982 0
  2734   5944 0
  2624   5958 0
  2516   5951 0
  2412   5935 0
  2378   5838 0
  2439   5743 0
  2333   5710 0
  2238   5770 0
  2138   5706 0
  2106   5595 0
  2101   5491 0
  1995   5484 0
  1888   5436 0
  1781   5481 0
  1645   5448 0
  1514   5411 0
  1394   5399 0
  1286   5438 0
  1156   5404 0
  1029   5439 0
   959   5523 0
  1048   5619 0
  1051   5726 0
   912   5714 0
   816   5644 0
   859   5514 0
   897   5399 0
   769   5370 0
   662   5344 0
   535   5311 0
   442   5224 0
   369   5148 0
   255   5110 0
   158   5061 0
    68   4986 0
   -20   4931 0
  -135   4964 0
  -199   4862 0
  -311   4881 0
  -439   4864 0
  -373   4780 0
  -264   4753 0
  -186   4662 0
  -109   4599 0
   -61   4506 0
  -128   4428 0
  -197   4335 0
  -311   4339 0
  -433   4341 0
  -547   4356 0
  -668   4358 0
  -780   4374 0
  -884   4330 0
  -876   4225 0
  -866   4110 0
  -893   3996 0
  -944   3894 0
  -883   3807 0
  -883   3706 0
  -773   3705 0
  -650   3696 0
  -570   3606 0
  -455   3658 0
  -354   3672 0
  -251   3681 0
  -146   3748 0
   -57   3822 0
   -29   3933 0
    36   4031 0
   133   4113 0
   236   4149 0
   323   4201 0
   317   4312 0
   410   4355 0
   513   4343 0
   622   4310 0
   717   4363 0
   820   4403 0
   918   4434 0
  1019   4391 0
  1067   4290 0
  1154   4233 0
  1233   4170 0
  1325   4127 0
  1445   4065 0
  1554   4003 0
  1612   3902 0
  1565   3806 0
  1656   3853 0
  1709   3938 0
  1707   4049 0
  1814   3988 0
  1761   4078 0
  1663   4120 0
  1564   4192 0
  1461   4220 0
  1381   4316 0
  1278   4397 0
  1241   4495 0
  1317   4572 0
  1400   4490 0
  1503   4457 0
  1583   4371 0
  1687   4338 0
  1776   4280 0
  1869   4237 0
  1957   4172 0
  1939   4058 0
  2009   3964 0
  2098   3894 0
  2203   3838 0
  2166   3737 0
  2249   3656 0
  2290   3752 0
  2404   3779 0
  2320   3865 0
  2279   3984 0
  2382   4005 0
  2457   4091 0
  2561   4087 0
  2664   4063 0
  2761   4098 0
  2867   4100 0
  2800   4194 0
  2794   4314 0
  2865   4410 0
  2955   4486 0
  3000   4576 0
  3085   4653 0
  3191   4678 0
  3276   4611 0
  3350   4511 0
  3452   4472 0
  3557   4507 0
  3486   4598 0
  3608   4665 0
  3725   4691 0
  3842   4716 0
  3838   4608 0
  3759   4533 0
  3844   4435 0
  3939   4384 0
  4027   4324 0
  4123   4280 0
  4173   4176 0
  4090   4120 0
  3981   4098 0
  3868   4096 0
  3761   4108 0
  3656   4131 0
  3530   4173 0
  3408   4197 0
  3293   4189 0
  3190   4151 0
  3095   4108 0
  2982   4115 0
  2894   4046 0
  2783   4043 0
  2673   4036 0
  2624   3948 0
  2682   3864 0
  2715   3766 0
  2811   3703 0
  2909   3654 0
  3029   3627 0
  3113   3683 0
  3210   3647 0
  3330   3613 0
  3449   3671 0
  3548   3659 0
  3581   3552 0
  3584   3444 0
  3527   3341 0
  3484   3232 0
  3421   3133 0
  3297   3110 0
  3216   3116 0

-12813   5274 1
-12826   5241 0
-12806   5249 0
-12791   5239 0
-12681   5222 0
-12769   5162 0
-12691   5091 0
-12562   5091 0
-12454   5043 0
-12375   4971 0
-12290   4901 0
-12227   4799 0
-12286   4715 0
-12318   4814 0
-12454   4834 0
-12423   4730 0
-12348   4624 0
-12396   4515 0
-12411   4400 0
-12449   4287 0
-12416   4176 0
-12426   4067 0
-12376   3961 0
-12328   3857 0
-12241   3803 0
-12201   3698 0
-12153   3604 0
-12067   3514 0
-11988   3444 0
-11861   3404 0
-11755   3339 0
-11703   3234 0
-11641   3132 0
-11583   3030 0
-11508   2942 0
-11415   2862 0
-11491   2783 0
-11417   2713 0
-11304   2662 0
-11211   2571 0
-11174   2456 0
-11075   2386 0
-11002   2295 0
-10993   2409 0
-11068   2476 0
-11126   2577 0
-11176   2673 0
-11242   2758 0
-11306   2850 0
-11383   2945 0
-11463   3032 0
-11485   3144 0
-11378   3156 0
-11308   3079 0
-11257   2973 0
-11189   2876 0
-11094   2792 0
-11025   2716 0
-10923   2643 0
-10865   2536 0
-10769   2449 0
-10688   2382 0
-10608   2291 0
-10559   2193 0
-10543   2087 0
-10532   1976 0
-10436   1907 0
-10345   1834 0
-10231   1797 0
-10129   1747 0
-10020   1698 0
 -9907   1660 0
 -9796   1610 0
 -9685   1575 0
 -9570   1590 0
 -9469   1628 0
 -9363   1582 0
 -9274   1506 0
 -9188   1427 0
 -9078   1393 0
 -8970   1353 0
 -8865   1324 0
 -8748   1335 0
 -8688   1227 0
 -8609   1144 0
 -8576   1050 0
 -8516    966 0
 -8418    943 0
 -8338    841 0
 -8236    831 0
 -8147    772 0
 -8055    724 0
 -8038    825 0
 -7950    895 0
 -7845    850 0
 -7814    752 0
 -7742    664 0
 -7742    558 0
 -7733    448 0
 -7730    347 0
 -7791    258 0
 -7894    171 0
 -7980     91 0
 -8021     -9 0
 -8085   -101 0
 -8088   -215 0
 -7987   -243 0
 -8027   -335 0
 -8112   -413 0
 -8115   -521 0
 -8078   -629 0
 -7985   -695 0
 -7927   -794 0
 -7867   -892 0
 -7821   -996 0
 -7767  -1097 0
 -7713  -1199 0
 -7650  -1294 0
 -7631  -1393 0
 -7562  -1484 0
 -7475  -1559 0
 -7373  -1618 0
 -7264  -1665 0
 -7161  -1724 0
 -7080  -1805 0
 -7029  -1901 0
 -7013  -2015 0
 -7007  -2130 0
 -7024  -2244 0
 -7053  -2345 0
 -7055  -2454 0
 -7065  -2562 0
 -7076  -2676 0
 -7109  -2784 0
 -7148  -2893 0
 -7137  -3005 0
 -7164  -3111 0
 -7148  -3226 0
 -7168  -3335 0
 -7202  -3444 0
 -7255  -3550 0
 -7301  -3661 0
 -7363  -3748 0
 -7346  -3865 0
 -7336  -3971 0
 -7388  -4075 0
 -7330  -4177 0
 -7244  -4230 0
 -7306  -4336 0
 -7276  -4440 0
 -7309  -4535 0
 -7379  -4648 0
 -7476  -4607 0
 -7553  -4675 0
 -7427  -4681 0
 -7366  -4773 0
 -7418  -4860 0
 -7382  -4963 0
 -7408  -5073 0
 -7368  -5168 0
 -7252  -5185 0
 -7355  -5212 0
 -7244  -5255 0
 -7136  -5279 0
 -7238  -5340 0
 -7118  -5383 0
 -7070  -5273 0
 -6951  -5236 0
 -6901  -5140 0
 -6893  -5039 0
 -6788  -4996 0
 -6739  -4889 0
 -6640  -4833 0
 -6575  -4749 0
 -6689  -4690 0
 -6752  -4593 0
 -6649  -4511 0
 -6537  -4450 0
 -6509  -4341 0
 -6456  -4252 0
 -6506  -4138 0
 -6408  -4101 0
 -6298  -4111 0
 -6241  -4024 0
 -6227  -3921 0
 -6123  -3898 0
 -6013  -3887 0
 -5904  -3867 0
 -5801  -3836 0
 -5713  -3750 0
 -5671  -3641 0
 -5718  -3533 0
 -5830  -3465 0
 -5853  -3363 0
 -5820  -3258 0
 -5842  -3365 0
 -5763  -3445 0
 -5638  -3482 0
 -5536  -3483 0
 -5432  -3466 0
 -5348  -3388 0
 -5258  -3303 0
 -5218  -3197 0
 -5149  -3102 0
 -5071  -3033 0
 -5116  -3124 0
 -5196  -3194 0
 -5099  -3133 0
 -5026  -3037 0
 -4970  -2932 0
 -4880  -2846 0
 -4859  -2738 0
 -4871  -2620 0
 -4797  -2514 0
 -4709  -2446 0
 -4606  -2382 0
 -4496  -2340 0
 -4385  -2299 0
 -4280  -2296 0
 -4189  -2248 0
 -4099  -2183 0
 -4063  -2079 0
 -4002  -1980 0
 -3973  -1875 0
 -3919  -1775 0
 -3908  -1661 0
 -3895  -1548 0
 -3899  -1433 0
 -3892  -1325 0
 -3806  -1264 0
 -3743  -1157 0
 -3681  -1071 0
 -3596   -995 0
 -3522   -906 0
 -3485   -798 0
 -3489   -686 0
 -3518   -574 0
 -3597   -506 0
 -3709   -491 0
 -3801   -423 0
 -3888   -349 0
 -3988   -290 0
 -4102   -288 0
 -4216   -280 0
 -4323   -238 0
 -4425   -249 0
 -4495   -153 0
 -4590   -119 0
 -4691    -79 0
 -4804    -74 0
 -4887   -169 0
 -4955   -261 0
 -5036   -197 0
 -5086   -107 0
 -5195   -158 0
 -5155    -57 0
 -5076     21 0
 -4999    107 0
 -5068    210 0
 -5101    316 0
 -5144    428 0
 -5229    485 0
 -5323    552 0
 -5443    592 0
 -5557    597 0
 -5664    596 0
 -5758    640 0
 -5857    655 0
 -5864    756 0
 -5958    827 0
 -6057    856 0
 -6093    950 0
 -6211    987 0
 -6282   1072 0
 -6413   1061 0
 -6510   1007 0
 -6610   1055 0
 -6724   1055 0
 -6829   1076 0
 -6902   1146 0
 -6984   1203 0
 -7051   1126 0
 -7151   1073 0
 -7105    968 0
 -7206    988 0
 -7168   1093 0
 -7114   1207 0
 -7224   1192 0
 -7325   1133 0
 -7424   1106 0
 -7522   1078 0
 -7564    975 0
 -7631    897 0
 -7676    801 0
 -7767    888 0
 -7867    943 0
 -7979    941 0
 -8081    891 0
 -8192    894 0
 -8272    966 0
 -8347   1052 0
 -8373   1154 0
 -8363   1265 0
 -8349   1367 0
 -8333   1475 0
 -8404   1564 0
 -8515   1592 0
 -8629   1581 0
 -8751   1585 0
 -8857   1583 0
 -8824   1692 0
 -8811   1805 0
 -8761   1893 0
 -8745   1998 0
 -8683   2095 0
 -8773   2153 0
 -8894   2140 0
 -9013   2113 0
 -9047   2008 0
 -9100   1912 0
 -9182   1849 0
 -9284   1849 0
 -9401   1825 0
 -9503   1860 0
