5.3 -.832267 2.65 .286063 2.65 -.543538 1.519 -1.519
5.4 -.772764 2.7 .27127 2.7 -.566598 1.542 -1.542
5.5 -.70554 2.75 .257127 2.75 -.589852 1.565 -1.565
5.6 -.631267 2.8 .24362 2.8 -.613287 1.588 -1.588
5.7 -.550686 2.85 .230738 2.85 -.636881 1.611 -1.611
5.8 -.464602 2.9 .218464 2.9 -.66062 1.634 -1.634
5.9 -.373877 2.95 .206781 2.95 -.684489 1.657 -1.657
6 -.279415 3 .195669 3 -.708478 1.68 -1.68
6.1 -.182163 3.05 .18511 3.05 -.73257 1.703 -1.703
6.2 -.0830894 3.1 .175081 3.1 -.756761 1.726 -1.726
6.3 .0168139 3.15 .165564 3.15 -.781034 1.749 -1.749
6.4 .116549 3.2 .156536 3.2 -.805386 1.772 -1.772
6.5 .21512 3.25 .147976 3.25 -.829809 1.795 -1.795
6.6 .311541 3.3 .139865 3.3 -.854291 1.818 -1.818
6.7 .40485 3.35 .132182 3.35 -.878828 1.841 -1.841
6.8 .494113 3.4 .124907 3.4 -.903413 1.864 -1.864
6.9 .57844 3.45 .11802 3.45 -.928044 1.887 -1.887
7 .656987 3.5 .111502 3.5 -.952717 1.91 -1.91
7.1 .728969 3.55 .105336 3.55 -.977423 1.933 -1.933
7.2 .793668 3.6 .0995037 3.6 -1.00216 1.956 -1.956
7.3 .850437 3.65 .0939882 3.65 -1.02693 1.979 -1.979
7.4 .898708 3.7 .0887732 3.7 -1.05172 2.002 -2.002
7.5 .938 3.75 .0838433 3.75 -1.07653 2.025 -2.025
7.6 .96792 3.8 .0791834 3.8 -1.10137 2.048 -2.048
7.7 .988168 3.85 .0747795 3.85 -1.12622 2.071 -2.071
7.8 .998543 3.9 .0706178 3.9 -1.15109 2.094 -2.094
7.9 .998941 3.95 .0666856 3.95 -1.17597 2.117 -2.117
8 .989358 4 .0629705 4 -1.20086 2.14 -2.14
8.1 .96989 4.05 .0594608 4.05 -1.22577 2.163 -2.163
8.2 .940731 4.1 .0561454 4.1 -1.25069 2.186 -2.186
8.3 .902172 4.15 .0530138 4.15 -1.27561 2.209 -2.209
8.4 .854599 4.2 .0500559 4.2 -1.30054 2.232 -2.232
8.5 .798487 4.25 .0472623 4.25 -1.32549 2.255 -2.255
8.6 .734397 4.3 .0446239 4.3 -1.35043 2.278 -2.278
8.7 .662969 4.35 .0421322 4.35 -1.37539 2.301 -2.301
8.8 .584917 4.4 .0397792 4.4 -1.40034 2.324 -2.324
8.9 .501021 4.45 .0375572 4.45 -1.42531 2.347 -2.347
9 .412118 4.5 .035459 4.5 -1.45027 2.37 -2.37
9.1 .319098 4.55 .0334778 4.55 -1.47524 2.393 -2.393
9.2 .22289 4.6 .031607 4.6 -1.50022 2.416 -2.416
9.3 .124454 4.65 .0298405 4.65 -1.52519 2.439 -2.439
9.4 .0247754 4.7 .0281726 4.7 -1.55017 2.462 -2.462
9.5 -.0751511 4.75 .0265978 4.75 -1.57515 2.485 -2.485
9.6 -.174327 4.8 .0251109 4.8 -1.60014 2.508 -2.508
9.7 -.271761 4.85 .0237071 4.85 -1.62512 2.531 -2.531
9.8 -.366479 4.9 .0223816 4.9 -1.65011 2.554 -2.554
9.9 -.457536 4.95 .0211302 4.95 -1.6751 2.577 -2.577
